ID,Name,Description
txcd_10302001,Digital Books - downloaded - non subscription - with limited rights,"Works that are generally recognized in the ordinary and usual sense as books and are transferred electronically.  These goods are downloaded to a device with access that expires after a stated period of time.  These goods include novels, autobiographies, encyclopedias, dictionaries, repair manuals, phone directories, business directories, zip code directories, cookbooks, etc."
txcd_10302002,Digital Books - downloaded - subscription - with conditional rights,"Works that are generally recognized in the ordinary and usual sense as books and are transferred electronically. These goods are downloaded to a device with access that is conditioned upon continued subscription payment. These goods include novels, autobiographies, encyclopedias, dictionaries, repair manuals, phone directories, business directories, zip code directories, cookbooks, etc."
txcd_10302003,Digital Books - viewable only - subscription - with conditional rights,"Works that are generally recognized in the ordinary and usual sense as books and are transferred electronically. These goods are viewable (but not downloadable) on a device with access that is conditioned upon continued subscription payment. These goods include novels, autobiographies, encyclopedias, dictionaries, repair manuals, phone directories, business directories, zip code directories, cookbooks, etc."
txcd_10303000,Digital Magazines/Periodicals - downloadable - subscription - with conditional rights,A digital version of a traditional periodical published at regular intervals with the entire publication or individual articles downloaded to a device with access that is conditioned upon continued subscription payment.
txcd_10303001,Digital Magazines/Periodicals - subscription tangible and digital,A digital version of a traditional magazine published at regular intervals. The publication is accessed via a subscription which also entitles the purchaser to physical copies of the media.
txcd_10303002,Digital Magazines/Periodicals - viewable only - subscription - with conditional rights,A digital version of a traditional periodical published at regular intervals with the entire publication or individual articles viewable (but not downloadable) on a device with access that is conditioned upon continued subscription payment.
txcd_10303100,Digital Magazines/Periodicals - downloadable - non subscription - with permanent rights,A digital version of a traditional periodical published at regular intervals with the entire publication or individual articles downloaded to a device with permanent access granted. The publication is accessed without a subscription.
txcd_10303101,Digital Magazines/Periodicals - viewable only - non subscription - with limited rights,A digital version of a traditional periodical published at regular intervals with the entire publication or individual articles viewable (but not downloadable) on a device with access that expires after a stated period of time. The publication is accessed without a subscription.
txcd_10303102,Digital Magazines/Periodicals - viewable only - non subscription - with permanent rights,A digital version of a traditional periodical published at regular intervals with the entire publication or individual articles viewable (but not downloadable) on a device with permanent access granted. The publication is accessed without a subscription.
txcd_10303104,Digital Magazines/Periodicals - downloadable - non subscription - with limited rights,A digital version of a traditional periodical published at regular intervals with the entire publication or individual articles downloaded to a device with access that expires after a stated period of time. The publication is accessed without a subscription.
txcd_10304000,Digital Newspapers - downloadable - non subscription - with permanent rights,A digital version of a traditional newspaper published at regular intervals with the entire publication or individual articles downloaded to a device with permanent access granted. The publication is accessed without a subscription.
txcd_10304001,Digital Newspapers - viewable only - non subscription - with limited rights,A digital version of a traditional newspaper published at regular intervals with the entire publication or individual articles viewable (but not downloadable) on a device with access that expires after a stated period of time. The publication is accessed without a subscription.
txcd_10304002,Digital Newspapers - viewable only - non subscription - with permanent rights,A digital version of a traditional newspaper published at regular intervals with the entire publication or individual articles viewable (but not downloadable) on a device with permanent access granted.  The publication is accessed without a subscription.
txcd_10304003,Digital Newspapers - downloadable - non subscription - with limited rights,A digital version of a traditional newspaper published at regular intervals with the entire publication or individual articles downloaded to a device with access that expires after a stated period of time.  The publication is accessed without a subscription.
txcd_10304100,Digital Newspapers - downloadable - subscription - with conditional rights,A digital version of a traditional newspaper published at regular intervals with the entire publication or individual articles downloaded to a device with access that is conditioned upon continued subscription payment.
txcd_10304101,Digital Newspapers - subscription tangible and digital,A digital version of a traditional newspaper published at regular intervals. The publication is accessed via a subscription which also entitles the purchaser to physical copies of the media.
txcd_10304102,Digital Newspapers - viewable only - subscription - with conditional rights,A digital version of a traditional newspaper published at regular intervals with the entire publication or individual articles viewable (but not downloadable) on a device with access that is conditioned upon continued subscription payment.
txcd_10305000,Digital School Textbooks - downloaded - non subscription - with limited rights,Works that are required as part of a formal academic education program and are transferred electronically. These goods are downloaded to a device with access that expires after a stated period of time.
txcd_10305001,Digital School Textbooks - downloaded - non subscription - with permanent rights,Works that are required as part of a formal academic education program and are transferred electronically. These goods are downloaded to a device with permanent access granted.
txcd_10401000,Digital Audio Works - streamed - non subscription - with limited rights,"Works that result from the fixation of a series of musical, spoken, or other sounds that are transferred electronically.  These goods are streamed to a device with access that expires after a stated period of time.  These goods include prerecorded or live music, prerecorded or live readings of books or other written materials, prerecorded or live speeches, ringtones, or other sound recordings, but not including audio greeting cards."
txcd_10401001,Digital Audio Works - downloaded - non subscription - with limited rights,"Works that result from the fixation of a series of musical, spoken, or other sounds that are transferred electronically.  These goods are downloaded to a device with access that expires after a stated period of time.  These goods include prerecorded or live music, prerecorded or live readings of books or other written materials, prerecorded or live speeches, ringtones, or other sound recordings, but not including audio greeting cards.  Note the presence of PTC 10301000 (Audiobook), a more granular option for downloaded audiobooks."
txcd_10401100,Digital Audio Works - downloaded - non subscription - with permanent rights,"Works that result from the fixation of a series of musical, spoken, or other sounds that are transferred electronically. These goods are downloaded to a device with permanent access granted. These goods include prerecorded or live music, prerecorded or live readings of books or other written materials, prerecorded or live speeches, ringtones, or other sound recordings, but not including audio greeting cards.  Note the presence of PTC 10301000 (Audiobook), a more granular option for downloaded audiobooks."
txcd_10401200,Digital Audio Works - streamed - subscription - with conditional rights,"Works that result from the fixation of a series of musical, spoken, or other sounds that are transferred electronically. These goods are streamed to a device with access that is conditioned upon continued subscription payment. These goods include prerecorded or live music, prerecorded or live readings of books or other written materials, prerecorded or live speeches, ringtones, or other sound recordings, but not including audio greeting cards."
txcd_10402000,Digital Audio Visual Works - streamed - non subscription - with limited rights,"A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any.  These goods are streamed to a device with access that expires after a stated period of time.  These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games."
txcd_10402100,Digital Audio Visual Works - downloaded - non subscription - with permanent rights,"A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any.  These goods are downloaded to a device with permanent access granted.  These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games."
txcd_10402110,Digital Audio Visual Works - downloaded - non subscription - with limited rights,"A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any. These goods are downloaded to a device with access that expires after a stated period of time. These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games."
txcd_10402200,Digital Audio Visual Works - streamed - subscription - with conditional rights,"A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any.  These goods are streamed to a device with access that is conditioned upon continued subscription payment.  These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games."
txcd_10402300,Digital Video Streaming - live events - limited use,"An audio visual work of a live performance streamed over the internet that you can only access for a limited time during the performance (e.g., a live concert stream)."
txcd_10501000,Digital Photographs/Images - downloaded - non subscription - with permanent rights,Digital images that are downloaded to a device with permanent access granted.
txcd_10502000,Gift Card,Gift card or gift certificate that you purchase and receive electronically and assumed to be multi-purpose.
txcd_10503000,Digital other news or documents - downloadable - non subscription - with permanent rights,"Individual digital news articles, newsletters, and other stand-alone documents.  These goods are downloaded to a device with permanent access granted.  These publications are accessed without a subscription."
txcd_10503001,Digital other news or documents - downloadable - non subscription - with limited rights,"Individual digital news articles, newsletters, and other stand-alone documents. These goods are downloaded to a device with access that expires after a stated period of time."
txcd_10503002,Digital other news or documents - downloadable - subscription - with conditional rights,"Individual digital news articles, newsletters, and other stand-alone documents. These goods are downloaded to a device with access that is conditioned upon continued subscription payment."
txcd_10503003,Digital other news or documents - viewable only - non subscription - with limited rights,"Individual digital news articles, newsletters, and other stand-alone documents. These goods are viewable (but not downloadable) on a device with access that expires after a stated period of time."
txcd_10503004,Digital other news or documents - viewable only - non subscription - with permanent rights,"Individual digital news articles, newsletters, and other stand-alone documents. These goods are viewable (but not downloadable) on a device with permanent access granted."
txcd_10503005,Digital other news or documents - viewable only - subscription - with conditional rights,"Individual digital news articles, newsletters, and other stand-alone documents. These goods are viewable (but not downloadable) on a device with access that is conditioned upon continued subscription payment."
txcd_10504000,"Electronic software documentation or user manuals - Custom, electronic delivery",Electronic software documentation or user manuals - For custom software & delivered electronically.
txcd_10504003,"Electronic software documentation or user manuals - Prewritten, electronic delivery",Electronic software documentation or user manuals - For prewritten software & delivered electronically.
txcd_10505000,Digital Finished Artwork - downloaded - non subscription - with limited rights,"The final art used for actual reproduction by photomechanical or other processes or for display purposes, but does not include website or home page design, and that is transferred electronically. These goods are downloaded to a device with access that expires after a stated period of time. These goods include drawings, paintings, designs, photographs, lettering, paste-ups, mechanicals, assemblies, charts, graphs, illustrative materials, etc."
txcd_10505001,Digital Finished Artwork - downloaded - non subscription - with permanent rights,"The final art used for actual reproduction by photomechanical or other processes or for display purposes, but does not include website or home page design, and that is transferred electronically. These goods are downloaded to a device with permanent access granted. These goods include drawings, paintings, designs, photographs, lettering, paste-ups, mechanicals, assemblies, charts, graphs, illustrative materials, etc."
txcd_10505002,Digital Finished Artwork - downloaded - subscription - with conditional rights,"The final art used for actual reproduction by photomechanical or other processes or for display purposes, but does not include website or home page design, and that is transferred electronically. These goods are downloaded to a device with access that is conditioned upon continued subscription payment. These goods include drawings, paintings, designs, photographs, lettering, paste-ups, mechanicals, assemblies, charts, graphs, illustrative materials, etc."
txcd_10506000,Digital Greeting Cards - Audio Only,"An electronic greeting ""card"" typically sent via email that contains an audio only message."
txcd_10506001,Digital Greeting Cards - Audio Visual,"An electronic greeting ""card"" typically sent via email that contains a series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any."
txcd_10506002,Digital Greeting Cards - Static text and/or images only,"An electronic greeting ""card"" typically sent via email that contains only static images or text, rather than an audio visual or audio only experience."
txcd_10701000,Website Advertising,Online advertising services such as creating and uploading advertisements on the internet. This is a standalone service that doesn't involve the sale of tangible personal property.
txcd_10701100,Website Hosting,A service to enable a customer's website to be accessible on the internet.
txcd_10701200,Website Design,A service to design a website or webpage.
txcd_10701300,Website Data Processing,"An online service that allows a customer to create, transform, process or access data electronically."
txcd_10701400,Website Information Services,"An online service furnishing information to customers, including online search and data comparison."
txcd_10701401,Website Information Services -  Personal Use,"An online service furnishing information to customers, including online search and data comparison. This PTC involves the customer utilizing a SaaS program to access the information content.  This offering is intended for personal use, rather than for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the U.S."
txcd_10701410,Electronically Delivered Information Services - Business Use,The furnishing of information of any kind by electronic means. This PTC does not involve the customer utilizing a SaaS program to access the information content. This offering is intended for use by a commercial enterprise. Note: The distinction between business use and personal use for this PTC is relevant only if you have sales in the US.
txcd_10701411,Electronically Delivered Information Services - Personal Use,"The furnishing of information of any kind by electronic means. This PTC does not involve the customer utilizing a SaaS program to access the information content.  This offering is intended for personal use, rather than for use by a commercial enterprise. Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US."
txcd_10702000,Online Dating Services,A subscription service for membership to an online dating platform.
txcd_10804001,Digital Audio Visual Works - bundle - downloaded with permanent rights and streamed - subscription - with conditional rights,"A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any. These goods are streamed and/or downloaded to a device with access that is conditioned upon continued subscription payment.  Any downloads received while under subscription remain the permanent property of the subscriber.  These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games.  These goods further include self-study web based training services that impart content via audio visual goods described here."
txcd_10804002,Digital Audio Visual Works - bundle - downloaded with limited rights and streamed - non subscription,"A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any. These goods can be streamed and/or downloaded to a device with access that expires after a stated period of time. These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games."
txcd_10804003,Digital Audio Visual Works - bundle - downloaded with permanent rights and streamed - non subscription,"A series of related images which, when shown in succession, impart an impression of motion, together with accompanying sounds, if any. These goods can be streamed and/or downloaded to a device with permanent access granted. These goods include motion pictures, music videos, animations, news and entertainment programs, and live events, but do not include video greeting cards or video or electronic games."
txcd_10804010,Digital Audio Works - bundle - downloaded with permanent rights and streamed - subscription - with conditional rights,"Works that result from the fixation of a series of musical, spoken, or other sounds that are transferred electronically. These goods are streamed and/or downloaded to a device with access that is conditioned upon continued subscription payment.  Any downloads received while under subscription remain the permanent property of the subscriber.  These goods include prerecorded or live music, prerecorded or live readings of books or other written materials, prerecorded or live speeches, ringtones, or other sound recordings, but not including audio greeting cards.   These goods further include self-study web based training services that impart content via audio goods described here.  Note the presence of PTC 10301000 (Audiobook), a more granular option for downloaded audiobooks."
txcd_20010001,Car Washing,"A charge to clean, wash or wax a motor vehicle, other than a self-service coin (or credit card) operated washing station. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential."
txcd_20010003,Cleaning of Tangible Personal Property,"A charge for the cleaning of tangible personal property, other than motor vehicles or clothing."
txcd_20010004,Commercial Cleaning Services,"A charge for janitorial services to commercial buildings, including the cleaning of floors, carpets, walls, windows, fixtures, exterior cleaning, etc."
txcd_20010006,Residential Cleaning Services,"A charge for custodial services to residential structures, including the cleaning of floors, carpets, walls, windows, appliances, furniture, fixtures, exterior cleaning, etc. No Tangible Personal Property is transferred."
txcd_20010007,Gutter Cleaning Services,A charge for the service to maintain the proper operation of home or building gutters through cleaning out debris that could otherwise affect the proper water flow through the gutter system.
txcd_20020009,Installation of Hardware - Nonpermanent,A labor charge to install hardware where the installed property isn't considered permanently attached to the real property.
txcd_20020010,Installation of Hardware - Permanent,A labor charge to install hardware where the installed property is permanently attached to the real property.
txcd_20020018,Installation of Tangible Personal Property,"A charge separately stated from any sale of the product itself for the installation of tangible personal property. This is a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential."
txcd_20030002,Pet Boarding,Services provided by a facility for overnight care of an animal not related to veterinary care.
txcd_20030003,Pet Grooming,"Grooming services for an animal such as haircuts, bathing, nail trimming, and flea dips."
txcd_20030004,Parking Services,A charge for providing usage of a parking space.
txcd_20030005,Pet Services - Obedience Training,Service to train an animal to obey certain commands.
txcd_20040001,Hairdressing Services,"Services provided by beauty shops and barber shops, including but not limited to haircutting, hair coloring, shampooing, blow drying, permanents, hair extensions, hair straightening, and hair restorations."
txcd_20040002,Personal Care Services,A charge for personal care services.  Please select a more granular product tax category where appropriate.
txcd_20040003,Body Piercing,A charge for the puncturing or penetration of the skin of a person and the insertion of jewelry or other adornment into the opening.
txcd_20040004,Childcare Services / Adultcare,Services that provide non-medical care and supervision for infant to school-age children or senior citizens.
txcd_20040005,Dating Services,"A service that arranges introductions, for a fee, for strangers seeking romantic partners or friends. This excludes online dating services."
txcd_20040006,Employment Services,Services provided by employment agencies to match employees to employers and employers to employees.
txcd_20040007,Manicure Services,"A charge for the cosmetic beauty treatment for the fingernails and toenails, including filing, cutting, shaping and the application of polish."
txcd_20040008,Massage Services,"Services where the use of structured touch, include holding, applying pressure, positioning, and mobilizing soft tissue of the body by manual technique. Note: This does not include medical massage prescribed by a physician."
txcd_20040009,Spa Services,"Personal services typically with the purpose of improving health, beauty and relaxation through treatments such as hair, massages and facials."
txcd_20040010,Tanning Services,Services for artificial tanning and skin beautification.
txcd_20040011,Tattooing Services,"A charge for the process that uses needles and colored ink to permanently put a mark or design on a person’s skin. Also applying permanent make-up, such as eyelining and other permanent colors to enhance the skin of the face, lips, eyelids, and eyebrows."
txcd_20060000,Professional Services,"A charge for a service performed by providers considered professionals due to the extensive initial and continuing education and/or training requirements, and the likelihood of state or federal licensing requirements. Choose this product tax code for any professional service offering in which a more detailed code is not available."
txcd_20060001,Accounting Services,"The measurement, processing and communication of financial information about economic entities including, but is not limited to, financial accounting, management accounting, auditing, cost containment and auditing services, taxation and accounting information systems; excluding general bookkeeping service."
txcd_20060002,Advertising Services,Services rendered for advertising which do not include the exchange of tangible personal property.
txcd_20060008,Credit Reporting Services,Services rendered for the compiling and relating of information regarding the history of financial transactions of a person or entity.
txcd_20060009,Data Processing,"A service that allows data to be created, transformed, where the service is not performed online. Select ""Website data processing"" if the service is performed online and data is accessed by the customer electronically."
txcd_20060010,Debt Collection Services,Services performed to collect or adjust past-due debt from borrowers.
txcd_20060013,Engineering Services,"Services provided by a professional trained to apply physical laws and principles of engineering in the design, development, and utilization of machines, materials, instruments, structures, processes, and systems. The services involve any of the following activities: provision of advice, preparation of feasibility studies, preparation of preliminary and final plans and designs, provision of technical services during the construction or installation phase, inspection and evaluation of engineering projects, and related services."
txcd_20060017,Technical Support Services,"Charges for installing, configuring, debugging, modifying, testing, or troubleshooting computer hardware, networks, programs or software. Labor only charge."
txcd_20060021,Insurance Services,"Charges associated loss or damage appraisals, inspections, actuarial services, claims adjustment or processing.  Investigations as excluded from this definition."
txcd_20060022,Interior Decorating,"Planning and design of interior spaces, including preparation of layout drawings, furniture arranging, design planning and purchasing of furniture, fixtures, and cabinetry, staging, lighting and sound design."
txcd_20060026,Lobbying Services,Services relating to advocating for the passage or defeat of legislation to members or staff of the government.
txcd_20060027,Medical Professional Services,"Services provided by a licensed or registered professional in the medical field.  Examples: Doctor, dentist, nurse, optometrist, etc."
txcd_20060029,Payroll Services,"Services to process employee payroll, including wages, withholding taxes, benefits. etc."
txcd_20060030,Private Investigator Services,"Services providing a systematic inquiry, examination, or analysis of people, events or documents through surveillance, background checks, computer searches, fingerprinting, lie detector services, interviews, etc."
txcd_20060035,Secretarial/Editing Services,"Services which include, but are not limited to, editing, letter writing, proofreading, resume writing, typing or word processing. Doesn't include court reporting and stenographic services."
txcd_20060040,Electronic Filing Service,Charges to electronically file a tax return on behalf of the taxpayer.  This does not include manual preparation of tax returns.
txcd_20060042,Temporary Help Services,"Services relating to providing personnel, on a temporary basis, to perform work or labor under the supervision or control of another."
txcd_20060044,Training,A charge for training sessions which provide instruction to the buyer. This includes education sessions or workshops but excludes physical exercise or workouts.
txcd_20060045,Training Services - Live Virtual,Live web based training. This does not include video replays of the instruction or course.  This service allows for a level of participation that is substantially similar to an in-person training on the same subject matter.
txcd_20060047,Architectural Services,"Services related to the art and science of designing and building structures for human habitation or use and includes planning, providing preliminary studies, designs, specifications, working drawings and providing for general administration of construction contracts."
txcd_20060048,Consulting Services,The provision of expertise or strategic advice that is presented for consideration and decision-making.
txcd_20060049,Cosmetic Medical Procedure,Medical procedure performed on an individual that is directed at improving the individual's appearance and that does not meaningfully promote the proper function of the body or prevent or treat illness or disease.
txcd_20060050,Credit Monitoring Services,Services to track one's credit reports and provide notifications of activity with the intent of avoiding fraud.
txcd_20060051,Credit Card Processing Services,A service that allows merchants to accept credit cards as well as send credit card payment details to the credit card network. It then forwards the payment authorization back to the acquiring bank.
txcd_20060052,Educational Services,Academic classes provided by traditional private education establishments and organizations.
txcd_20060053,Home Inspection Services,"A charge for an objective visual examination of a house’s systems and physical structure. The charge includes a report of the inspector's findings including pictures, analysis, and recommendations."
txcd_20060054,Legal Services,"Services relating to or concerned with the law. Such services include, but are not limited to, representation by an attorney (or other person, when permitted) in an administrative or legal proceeding, legal drafting, paralegal services, legal research services, arbitration, mediation, and court reporting services."
txcd_20060055,Marketing Services,Services for consumer research and testing in connection with the development of particular products or services that the client sells to consumers in the regular course of business.
txcd_20060056,Public Relations,Services to provide outreach designed to influence the general public or other groups by promoting the interests of a service recipient.
txcd_20060057,Stenographic Services,"Services that include typing, taking shorthand, and taking and transcribing dictation for others for a consideration."
txcd_20060058,Training Services - Self-study Web-based,"Self Study web based training, not instructor led. This does not include downloads or streaming of video replays."
txcd_20060059,Tutoring,"Personal or small group teaching, designed to help people who need extra help with their studies."
txcd_20070001,Security - Alarm Services,"A charge for monitoring an electronically controlled alarm system for residential or commercial properties to minimize or prevent loss or damage to life, limb, or property."
txcd_20070006,Extermination Services,"A charge for services related to the eradication of insects, rodents, and other pests."
txcd_20070007,Landscaping,A charge for services related to the maintenance of grounds.
txcd_20070008,Lawn Maintenance Services,"A charge for services of general lawn and grounds maintenance, including lawn cutting, weeding, yard clean-up, shrub and tree trimming, periodic seeding or aeration, etc. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential."
txcd_20070010,Painting & Wallpapering Services,A charge for services related to the painting of surfaces or the application of wallpaper.
txcd_20070013,Security - Guard Services,"Services related to protecting persons or their property, preventing the theft of goods, merchandise, or money. Responding to alarm signal device, burglar alarm, television camera, still camera, or a mechanical or electronic device installed or used to prevent or detect burglary, theft, shoplifting, pilferage, losses, or other security measures. Providing management and control of crowds for safety and protection."
txcd_20070016,Property Surveying Services,"Services mapping, detecting or establishing the relative position of points at, above, or below the surface of the earth. These services may include surveying and mapping of areas above or below the surface of the earth, such as the creation of view easements or segregating rights in parcels of land by creating underground utility easements."
txcd_20080003,Motor Vehicle Repair,"A charge to repair or restore to operating condition a motor vehicle that was broken, worn, damaged, defective, or malfunctioning. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential."
txcd_20080004,Shoe Repair,"A charge to repair or restore footwear was broken, worn, damaged, defective, or malfunctioning. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential."
txcd_20080005,Repair of Tangible Personal Property,"A charge to repair or restore tangible personal property that was broken, worn, damaged, defective, or malfunctioning. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential."
txcd_20080007,Repairs to Real Property,"A charge to repair or maintain real property including repairs to HVAC, electrical, flooring, etc."
txcd_20080008,Aircraft Repair,"A charge to repair or restore to operating condition an aircraft that was broken, worn, damaged, defective, or malfunctioning. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential. Commercial aircraft is excluded."
txcd_20080009,Appliance Repair,"A charge to repair or restore to operating condition an appliance (dishwasher, washing machine, refrigerator, etc.) that was broken, worn, damaged, defective, or malfunctioning. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential."
txcd_20080010,Computer Repair,"A charge to repair or restore to operating condition computer hardware that was broken, worn, damaged, defective, or malfunctioning. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential."
txcd_20080011,Furniture Reupholstering,A separately stated labor charge to cover a piece of furniture previously owned by the customer with new fabric coverings. Any materials transferred as part of the service are separately stated.
txcd_20080012,Jewelry Repair,"A charge to repair or restore jewelry that was broken, worn, damaged, defective, or malfunctioning. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential."
txcd_20080013,Machine Repair,"A charge to repair or restore to operating condition a machine that was broken, worn, damaged, defective, or malfunctioning. This a labor charge, with any non-separately stated property transferred in performing the service considered inconsequential."
txcd_20090001,Garment Alterations - in conjunction with purchase of garment,"A charge to perform an alteration on a item of clothing by the vendor of the article. The alteration is separately stated from the clothing, but contracted for at the time of the clothing purchase. Alterations could include hemming of a dress, shortening of pants, adjusting the waistline of a garment, etc."
